type,grader_id,project_id,graded_id,grade,explanation
# === Projekt 1: System zarządzania zadaniami ===
self_assessment,2001,1,,5,"Jestem zadowolony ze swojej pracy, działałem systematycznie"
project_assessment,2001,1,,4,"Projekt został ukończony na czas i spełnił wymagania"
objectives_assessment,2001,1,,5,"Cele projektu zostały zrealizowane w całości"
leadership_assessment,2001,1,2001,5,"Lider skutecznie zarządzał zadaniami i motywował zespół"
teammate_assessment,2001,1,2002,4,"Anna pracowała solidnie i była zawsze pomocna"
teammate_assessment,2001,1,2003,5,"Piotr wykazał się dużą inicjatywą"
teammate_assessment,2001,1,2004,3,"Maria potrzebowała wsparcia przy implementacji"
teammate_assessment,2001,1,2005,4,"Tomasz terminowo realizował swoje zadania"

self_assessment,2002,1,,4,"Zaangażowałam się w projekt, choć mogłam lepiej zarządzać czasem"
project_assessment,2002,1,,5,"Projekt był dobrze zaplanowany i spójny"
objectives_assessment,2002,1,,4,"Cele projektu były ambitne, ale realistyczne"
leadership_assessment,2002,1,2001,5,"Lider dobrze rozdzielał zadania i wspierał zespół"
teammate_assessment,2002,1,2001,5,"Jan był świetnym liderem"
teammate_assessment,2002,1,2003,4,"Piotr wykonał solidny moduł logowania"
teammate_assessment,2002,1,2004,3,"Maria miała kilka błędów w kodzie"
teammate_assessment,2002,1,2005,4,"Tomasz pomógł przy testach końcowych"

self_assessment,2003,1,,3,"Mogłem być bardziej aktywny w planowaniu sprintów"
project_assessment,2003,1,,4,"Projekt był dopracowany, choć wymagał poprawek"
objectives_assessment,2003,1,,3,"Nie wszystkie cele zostały w pełni osiągnięte"
leadership_assessment,2003,1,2001,4,"Lider był konsekwentny, choć czasem zbyt wymagający"
teammate_assessment,2003,1,2001,5,"Jan wspierał zespół w trudnych momentach"
teammate_assessment,2003,1,2002,4,"Anna była komunikatywna i zorganizowana"
teammate_assessment,2003,1,2004,3,"Maria miała problemy z GitHubem"
teammate_assessment,2003,1,2005,4,"Tomasz wniósł cenne pomysły"

self_assessment,2004,1,,4,"Zrealizowałam większość swoich zadań"
project_assessment,2004,1,,5,"Projekt przebiegł zgodnie z planem"
objectives_assessment,2004,1,,5,"Cele zostały dobrze zdefiniowane i osiągnięte"
leadership_assessment,2004,1,2001,5,"Lider świetnie motywował zespół"
teammate_assessment,2004,1,2001,5,"Jan był pomocny i opanowany"
teammate_assessment,2004,1,2002,4,"Anna dobrze prowadziła dokumentację"
teammate_assessment,2004,1,2003,4,"Piotr pomógł mi z testami"
teammate_assessment,2004,1,2005,3,"Tomasz mógł szybciej kończyć swoje zadania"

self_assessment,2005,1,,5,"Dałem z siebie wszystko i ukończyłem wszystkie zadania"
project_assessment,2005,1,,4,"Projekt był udany i dobrze oceniony"
objectives_assessment,2005,1,,4,"Założenia projektu zostały spełnione"
leadership_assessment,2005,1,2001,4,"Lider dbał o porządek w repozytorium"
teammate_assessment,2005,1,2001,5,"Jan zarządzał projektem bardzo dobrze"
teammate_assessment,2005,1,2002,4,"Anna była aktywna i pomysłowa"
teammate_assessment,2005,1,2003,3,"Piotr czasem się spóźniał z zadaniami"
teammate_assessment,2005,1,2004,5,"Maria przygotowała dokładne testy"

# === Projekt 2: Aplikacja do nauki języków ===
self_assessment,2006,2,,5,"Projekt przebiegł bardzo dobrze, jestem zadowolona z efektów"
project_assessment,2006,2,,5,"Projekt działa stabilnie i ma pełną funkcjonalność"
objectives_assessment,2006,2,,5,"Cele projektu zostały osiągnięte w całości"
leadership_assessment,2006,2,2006,5,"Lider dobrze organizował pracę zespołu"
teammate_assessment,2006,2,2007,4,"Michał był zaangażowany i dokładny"
teammate_assessment,2006,2,2008,5,"Magdalena świetnie opracowała interfejs"
teammate_assessment,2006,2,2009,4,"Jakub szybko reagował na uwagi"
teammate_assessment,2006,2,2010,5,"Alicja miała bardzo dobre pomysły"

self_assessment,2007,2,,4,"Starałem się pracować równo z zespołem"
project_assessment,2007,2,,5,"Projekt przebiegł bez opóźnień"
objectives_assessment,2007,2,,4,"Większość celów została osiągnięta"
leadership_assessment,2007,2,2006,5,"Lider wspierał każdego członka zespołu"
teammate_assessment,2007,2,2006,5,"Katarzyna była bardzo pomocna"
teammate_assessment,2007,2,2008,4,"Magdalena szybko rozwiązywała problemy"
teammate_assessment,2007,2,2009,3,"Jakub czasem się spóźniał"
teammate_assessment,2007,2,2010,4,"Alicja testowała dokładnie aplikację"

self_assessment,2008,2,,3,"Mogłam poświęcić więcej czasu na testy"
project_assessment,2008,2,,4,"Projekt był udany, choć wymagał poprawek"
objectives_assessment,2008,2,,3,"Nie wszystkie cele zostały dopięte"
leadership_assessment,2008,2,2006,4,"Lider dobrze rozdzielał zadania"
teammate_assessment,2008,2,2006,5,"Katarzyna była świetnym liderem"
teammate_assessment,2008,2,2007,4,"Michał miał dobre pomysły"
teammate_assessment,2008,2,2009,3,"Jakub czasem się spóźniał z kodem"
teammate_assessment,2008,2,2010,4,"Alicja pracowała rzetelnie"

self_assessment,2009,2,,4,"Zaangażowałem się w projekt, ale mogłem lepiej planować"
project_assessment,2009,2,,5,"Projekt był bardzo dopracowany"
objectives_assessment,2009,2,,4,"Założenia projektu zostały spełnione"
leadership_assessment,2009,2,2006,5,"Liderka motywowała zespół"
teammate_assessment,2009,2,2006,4,"Katarzyna była świetnym liderem"
teammate_assessment,2009,2,2007,4,"Michał był pomocny w testach"
teammate_assessment,2009,2,2008,5,"Magdalena tworzyła świetny design"
teammate_assessment,2009,2,2010,3,"Alicja mogła lepiej dokumentować"

self_assessment,2010,2,,5,"Byłam zadowolona ze swojej pracy w projekcie"
project_assessment,2010,2,,5,"Projekt przeszedł wszystkie testy"
objectives_assessment,2010,2,,5,"Cele zostały osiągnięte w 100%"
leadership_assessment,2010,2,2006,4,"Liderka wspierała zespół i motywowała"
teammate_assessment,2010,2,2006,3,"Dobra organizacja pracy, ale mogła szybciej reagować na uwagi"
teammate_assessment,2010,2,2007,4,"Zaangażowany w testowanie aplikacji, komunikatywny"
teammate_assessment,2010,2,2008,5,"Świetna współpraca, zawsze pomocna i terminowa"
teammate_assessment,2010,2,2009,2,"Często się spóźniał z zadaniami, ale pomysły miał ciekawe"
